UserID,MovieID,Rating
1,914,4.0
1,2018,4.0
1,2797,4.0
1,1270,4.0
1,1545,4.0
1,1566,4.0
1,588,4.0
1,1907,4.0
1,2762,4.0
1,1962,5.0
1,1028,4.0
2,3030,3.0
2,1253,4.0
2,1259,4.0
2,1188,4.0
2,1690,4.0
2,3654,4.0
2,2312,4.0
2,1370,4.0
2,1801,4.0
2,590,4.0
2,593,4.0
2,95,4.0
2,1917,4.0
2,1953,3.0
2,1124,4.0
2,165,3.0
2,2321,3.0
2,1090,4.0
2,457,4.0
2,1527,4.0
2,3451,4.0
2,3095,4.0
2,2728,4.0
2,1784,4.0
2,1968,4.0
2,1246,4.0
3,648,4.0
3,1580,4.0
3,260,4.0
3,1049,4.0
3,733,5.0
3,1198,4.0
3,1378,4.0
3,1304,4.0
3,2617,4.0
3,2006,4.0
4,2951,5.0
4,2028,4.0
4,3702,4.0
4,2947,4.0
5,1175,4.0
5,1759,3.0
5,581,4.0
5,150,3.0
5,515,3.0
5,50,4.0
5,377,3.0
5,1268,3.0
5,1912,3.0
5,2359,3.0
5,2289,4.0
5,1704,4.0
5,1279,4.0
5,2721,4.0
5,968,3.0
5,3020,4.0
5,318,4.0
5,176,3.0
5,461,3.0
5,608,3.0
5,1715,2.0
5,3176,3.0
5,1719,4.0
5,1649,3.0
5,2013,4.0
5,2952,3.0
5,3105,4.0
5,1650,3.0
5,908,4.0
5,1653,4.0
5,2029,3.0
5,1734,3.0
5,1884,4.0
5,1093,4.0
5,1095,3.0
5,1966,3.0
5,32,3.0
5,3786,3.0
5,357,3.0
5,36,3.0
6,1688,4.0
6,1188,4.0
6,588,4.0
6,1,4.0
6,2858,4.0
6,2506,4.0
6,3600,4.0
6,3536,4.0
6,1947,4.0
6,2966,4.0
6,1806,4.0
6,2100,4.0
6,569,4.0
6,34,3.0
7,2916,5.0
7,589,4.0
7,2571,5.0
7,457,5.0
7,480,4.0
7,3418,4.0
8,3148,3.0
8,150,4.0
8,1621,4.0
8,3155,4.0
8,1120,3.0
8,161,4.0
8,1411,4.0
8,1274,4.0
8,1704,4.0
8,465,4.0
8,1711,5.0
8,538,4.0
8,3246,4.0
8,1213,3.0
8,3105,4.0
8,3252,4.0
8,2023,3.0
8,2028,4.0
8,480,3.0
8,1801,4.0
8,1730,5.0
8,3265,4.0
8,24,4.0
8,25,4.0
8,562,3.0
8,2541,4.0
8,1678,4.0
8,282,4.0
9,3298,4.0
9,3510,4.0
9,593,4.0
9,1777,4.0
9,745,4.0
9,3452,4.0
9,1921,4.0
9,1358,4.0
9,1500,4.0
9,1148,3.0
9,1653,4.0
9,2890,4.0
9,3114,4.0
9,1089,4.0
9,3408,4.0
9,3916,3.0
9,25,4.0
9,2324,4.0
9,349,3.0
9,3270,4.0
9,1961,4.0
10,648,4.0
10,2628,4.0
10,3869,4.0
10,1256,4.0
10,1831,4.0
10,589,4.0
10,2497,5.0
10,7,4.0
10,2136,4.0
10,2138,4.0
10,1269,5.0
10,1196,4.0
10,2716,4.0
10,596,5.0
10,597,4.0
10,1411,5.0
10,1271,4.0
10,1278,4.0
10,745,4.0
10,318,4.0
10,2080,4.0
10,2081,4.0
10,2087,4.0
10,2662,4.0
10,3100,4.0
10,2302,4.0
10,186,4.0
10,2090,4.0
